customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6684-LWVH,Male,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.56,107.47,No
7027-JIFO,Male,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.52,1020.47,No
5981-VOQO,Female,0,No,No,45,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.87,2686.35,No
7266-HYDM,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.95,2536.96,Yes
2821-JDLS,Female,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,30.18,139.12,No
5340-PDYK,Male,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),92.99,3482.17,Yes
1336-CZFG,Female,0,Yes,No,27,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),68.02,1835.3,No
7720-JXCT,Male,0,No,No,36,No,No phone service,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,52.88,1796.16,No
7437-YWUA,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,97.63,2046.14,Yes
8464-DRCH,Male,0,Yes,No,33,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),61.15,1889.43,Yes
2382-GEHP,Female,0,No,No,68,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,71.02,4786.27,No
4362-AHBA,Male,1,Yes,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.37,914.19,No
4307-CPGI,Male,0,No,Yes,13,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.01,960.16,Yes
9422-IPCN,Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,89.18,1942.52,No
4767-YMRS,Male,1,No,No,35,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),53.36,1674.86,Yes
2097-RWQD,Female,0,Yes,No,50,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),87.87,4315.01,No
6990-RRZA,Female,0,Yes,No,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,722.04,No
2124-CLFC,Male,0,No,Yes,11,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),76.36,850.93,Yes
2306-TWOL,Male,0,No,No,3,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),78.38,229.77,Yes
3030-HMMD,Male,0,No,No,57,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),72.03,3866.18,No
3525-OVBC,Female,0,No,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,80.45,2936.83,No
2881-EIAR,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.76,917.82,No
3192-EACG,Female,0,Yes,No,15,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,69.84,1053.87,No
4049-QKEA,Male,0,No,No,37,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.72,2871.0,Yes
9860-AKZC,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),68.29,126.55,No
8788-TRUA,Male,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.36,355.59,Yes
4572-USPL,Female,0,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),37.44,1391.75,No
4089-XZQW,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,91.85,89.35,Yes
7070-YYZP,Male,0,No,No,41,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),92.83,3778.23,Yes
1458-XUIB,Male,0,No,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.15,1554.09,No
9372-JTIG,Male,1,Yes,No,22,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.51,1005.51,Yes
6430-LOLZ,Female,1,No,Yes,15,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),85.93,1237.95,No
9924-JUND,Female,0,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,94.81,3561.74,Yes
6101-ANST,Male,1,No,No,26,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),89.67,2270.18,No
7579-ZCTQ,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),91.62,1320.98,Yes
2179-OJKT,Male,0,Yes,No,16,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),80.04,1275.97,Yes
9860-RUXC,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,86.12,246.95,No
1903-YGXS,Female,0,Yes,Yes,35,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),80.85,2646.23,Yes
5337-WEYC,Female,0,Yes,No,21,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,59.07,1194.63,Yes
7756-ERQB,Female,0,No,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,81.65,2651.58,No
8613-FCRZ,Male,0,No,No,49,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,73.85,3252.49,No
6965-LDRT,Male,1,No,No,29,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.01,2259.11,Yes
4600-IOAO,Male,1,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,87.25,2449.58,Yes
5107-PCMQ,Male,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),26.03,545.14,No
1626-QHZQ,Male,0,Yes,Yes,51,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,79.78,4363.02,No
8086-UTJI,Male,1,Yes,No,16,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,82.46,1298.11,No
5849-VGVO,Male,0,Yes,No,46,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),76.11,3326.7,No
9779-CEWY,Female,0,Yes,No,20,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,74.25,1467.13,Yes
1594-EQRV,Female,0,Yes,No,4,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,62.17,225.6,No
3382-FNJI,Female,1,No,No,11,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.8,1053.38,Yes
